[0.0801636, -0.069743395], Expected: 2, Guessed: 2
[-0.046408176, -0.7298485], Expected: 3, Guessed: 3
[0.22093344, 0.6171845], Expected: 1, Guessed: 1
[0.6943809, 0.07280028], Expected: 2, Guessed: 0
[0.7240906, 0.8314395], Expected: 0, Guessed: 0
[0.09437847, -0.75842106], Expected: 2, Guessed: 2
[0.8236531, 0.56847465], Expected: 0, Guessed: 0
[-0.79994714, -0.07801688], Expected: 3, Guessed: 3
[-0.011182189, 0.64046264], Expected: 3, Guessed: 3
[-0.24082243, -0.5145426], Expected: 0, Guessed: 0
[-0.71255434, -0.2953924], Expected: 1, Guessed: 1
[-0.078864574, -0.7398962], Expected: 3, Guessed: 3
[-0.07381642, 0.72307754], Expected: 3, Guessed: 3
[0.86032546, 0.96500456], Expected: 2, Guessed: 2
[0.5479109, -0.5097712], Expected: 0, Guessed: 0
[-0.14126647, 0.9142835], Expected: 3, Guessed: 3
[-0.11142933, -0.5461656], Expected: 0, Guessed: 0
[-0.66539764, -0.81719506], Expected: 1, Guessed: 1
[0.47552896, 0.23559904], Expected: 1, Guessed: 1
[-0.26732886, -0.19625986], Expected: 0, Guessed: 0
[-0.90338683, 0.016468287], Expected: 3, Guessed: 3
[-0.54101944, 0.08389509], Expected: 1, Guessed: 1
[-0.27764666, -0.30546856], Expected: 0, Guessed: 0
[0.7923292, 0.31670249], Expected: 0, Guessed: 0
[-0.105593204, 0.7542976], Expected: 3, Guessed: 3
[0.35895813, -0.25760245], Expected: 1, Guessed: 1
[0.8026227, 0.8186947], Expected: 0, Guessed: 2
[0.021999478, -0.59635794], Expected: 2, Guessed: 2
[0.3949176, -0.49155998], Expected: 1, Guessed: 1
[-0.6010128, -0.41750324], Expected: 1, Guessed: 1
[-0.037471652, 0.53284526], Expected: 3, Guessed: 3
[0.44687355, 0.4471866], Expected: 1, Guessed: 1
[0.31399179, -0.18670774], Expected: 1, Guessed: 1
[-0.80665636, -0.79318464], Expected: 1, Guessed: 3
[-0.4786719, 0.2334435], Expected: 0, Guessed: 0
[-0.42414165, -0.052404046], Expected: 3, Guessed: 0
[-0.55043006, 0.5628598], Expected: 1, Guessed: 1
[0.08710623, -0.9599836], Expected: 2, Guessed: 2
[0.05544877, -0.1365037], Expected: 2, Guessed: 2
[-0.5900085, 0.8536929], Expected: 1, Guessed: 1
[0.48341298, -0.18183684], Expected: 1, Guessed: 1
[0.13074386, 0.94272184], Expected: 2, Guessed: 2
[-0.95082605, 0.8793615], Expected: 3, Guessed: 3
[-0.099693775, 0.97266185], Expected: 3, Guessed: 3
[0.56585, -0.20490956], Expected: 0, Guessed: 0
[-0.19186175, 0.7106019], Expected: 0, Guessed: 0
[-0.5500339, -0.7993592], Expected: 1, Guessed: 1
[0.25657403, 0.30814064], Expected: 1, Guessed: 1
[-0.5102385, -0.24629962], Expected: 1, Guessed: 1
[-0.9233036, -0.054240704], Expected: 3, Guessed: 3
[-0.056573987, -0.67782485], Expected: 3, Guessed: 3
[-0.91156924, -0.59545267], Expected: 1, Guessed: 3
[0.1682142, 0.50412977], Expected: 1, Guessed: 1
[-0.36046374, 0.17229295], Expected: 0, Guessed: 0
[0.7023442, -0.83244836], Expected: 0, Guessed: 0
[-0.9970273, -0.18340075], Expected: 3, Guessed: 3
[-0.3991325, 0.55089116], Expected: 0, Guessed: 0
[-0.20644426, -0.7348044], Expected: 0, Guessed: 0
[-0.13374639, -0.023582458], Expected: 3, Guessed: 3
[-0.01201725, -0.32350135], Expected: 3, Guessed: 3
[-0.45252585, -0.483508], Expected: 0, Guessed: 0
[0.6835251, -0.7284962], Expected: 0, Guessed: 0
[-0.9276544, 0.5432899], Expected: 1, Guessed: 3
[0.6775285, -0.002727747], Expected: 2, Guessed: 0
[-0.27749908, -0.5830529], Expected: 0, Guessed: 0
[-0.65883076, -0.4751166], Expected: 1, Guessed: 1
[0.985564, 0.46344006], Expected: 2, Guessed: 0
[-0.5732486, 0.8292701], Expected: 1, Guessed: 1
[0.48309827, 0.60589445], Expected: 1, Guessed: 1
[-0.50046337, -0.41039908], Expected: 1, Guessed: 1
[-0.0348562, 0.69182146], Expected: 3, Guessed: 3
[0.015244126, 0.67784333], Expected: 2, Guessed: 2
[0.70335126, 0.7606672], Expected: 0, Guessed: 0
[-0.15322375, -0.9829036], Expected: 3, Guessed: 0
[0.75681937, -0.31609917], Expected: 0, Guessed: 0
[-0.24651039, -0.3062638], Expected: 0, Guessed: 0
[-0.18905294, 0.15281391], Expected: 3, Guessed: 3
[-0.8802235, -0.8418623], Expected: 3, Guessed: 3
[-0.58562803, -0.3373567], Expected: 1, Guessed: 1
[0.7844169, -0.9362556], Expected: 2, Guessed: 2
[0.80809724, 0.6272012], Expected: 0, Guessed: 0
[0.23694396, 0.34580362], Expected: 1, Guessed: 1
[-0.46885276, 0.14379334], Expected: 0, Guessed: 0
[0.45220459, -0.24229372], Expected: 1, Guessed: 1
[-0.49324393, -0.79202807], Expected: 0, Guessed: 1
[-0.46926832, -0.35069144], Expected: 0, Guessed: 0
